Link,Status,Breadcrumbs,Content Div,H1 Header,Timestamp
http://10.147.112.4/id2,SUCCESS,NOT FOUND,NOT FOUND,NOT FOUND,2024-09-24 02:12:39
http://10.147.112.4/id2/admin/password_change/,SUCCESS,FOUND,FOUND,FOUND,2024-09-24 02:12:39
http://10.147.112.4/id2/admin/logout/,SUCCESS,FOUND,FOUND,FOUND,2024-09-24 02:12:40
http://10.147.112.4/id2/admin/AMS_reports/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:40
http://10.147.112.4/id2/admin/AMS_reports/attachment/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:40
http://10.147.112.4/id2/admin/AMS_reports/attachment/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:40
http://10.147.112.4/id2/admin/AMS_reports/attachment/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/data/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/data/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/data/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/link/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/link/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:41
http://10.147.112.4/id2/admin/AMS_reports/link/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/report/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/report/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/report/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/section/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/section/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:42
http://10.147.112.4/id2/admin/AMS_reports/section/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/emailaddress/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/emailaddress/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/emailaddress/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/mailinglist/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/mailinglist/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:43
http://10.147.112.4/id2/admin/AMSemail/mailinglist/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSFirmwareFlashing/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSFirmwareFlashing/modelfirmwaremapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSFirmwareFlashing/modelfirmwaremapping/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSFirmwareFlashing/modelfirmwaremapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSRest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:44
http://10.147.112.4/id2/admin/AMSRest/apibomrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:45
http://10.147.112.4/id2/admin/AMSRest/apibomrequest/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:45
http://10.147.112.4/id2/admin/AMSRest/apibomrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:45
http://10.147.112.4/id2/admin/AMSRest/apimodelattributesrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:45
http://10.147.112.4/id2/admin/AMSRest/apimodelattributesrequest/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:46
http://10.147.112.4/id2/admin/AMSRest/apimodelattributesrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:46
http://10.147.112.4/id2/admin/AMSRest/apiwobomrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:46
http://10.147.112.4/id2/admin/AMSRest/apiwobomrequest/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:46
http://10.147.112.4/id2/admin/AMSRest/apiwobomrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:46
http://10.147.112.4/id2/admin/AMSRest/apiworoutingrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:47
http://10.147.112.4/id2/admin/AMSRest/apiworoutingrequest/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:47
http://10.147.112.4/id2/admin/AMSRest/apiworoutingrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:47
http://10.147.112.4/id2/admin/AMSRest/apiworkorderrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:47
http://10.147.112.4/id2/admin/AMSRest/apiworkorderrequest/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:47
http://10.147.112.4/id2/admin/AMSRest/apiworkorderrequest/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/group/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/group/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/group/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/user/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/user/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/auth/user/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:48
http://10.147.112.4/id2/admin/employees/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/authactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/authactivity/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/authactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/employeegroup/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/employeegroup/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:49
http://10.147.112.4/id2/admin/employees/employeegroup/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/employee/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/employee/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/employee/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/privilege/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/privilege/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:50
http://10.147.112.4/id2/admin/employees/privilege/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickdefinition/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickheader/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickheader/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/picking/pickheader/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:51
http://10.147.112.4/id2/admin/RepairStation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/RepairStation/setting/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/RepairStation/setting/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/RepairStation/setting/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/sfcs/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/sfcs/action/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:52
http://10.147.112.4/id2/admin/sfcs/action/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/action/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/activitylog/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/activitylog/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/activitylog/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/automatedscannerdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:53
http://10.147.112.4/id2/admin/sfcs/automatedscannerdata/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:54
http://10.147.112.4/id2/admin/sfcs/automatedscannerdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:54
http://10.147.112.4/id2/admin/sfcs/bom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:54
http://10.147.112.4/id2/admin/sfcs/bom/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:54
http://10.147.112.4/id2/admin/sfcs/bom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:54
http://10.147.112.4/id2/admin/sfcs/companyaddress/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:55
http://10.147.112.4/id2/admin/sfcs/companyaddress/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:55
http://10.147.112.4/id2/admin/sfcs/companyaddress/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:55
http://10.147.112.4/id2/admin/sfcs/cycletimesbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:55
http://10.147.112.4/id2/admin/sfcs/cycletimesbydate/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:55
http://10.147.112.4/id2/admin/sfcs/cycletimesbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/dailytargethistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/dailytargethistory/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/dailytargethistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/deletedunit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/deletedunit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:56
http://10.147.112.4/id2/admin/sfcs/energyguide/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:57
http://10.147.112.4/id2/admin/sfcs/energyguide/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:57
http://10.147.112.4/id2/admin/sfcs/energyguide/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:57
http://10.147.112.4/id2/admin/sfcs/entity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:57
http://10.147.112.4/id2/admin/sfcs/entity/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:57
http://10.147.112.4/id2/admin/sfcs/entity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/financeactivitylog/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/financeactivitylog/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/financeactivitylog/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/kitorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/kitorder/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:58
http://10.147.112.4/id2/admin/sfcs/kitorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_event/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_event/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_event/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_function/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_function/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:12:59
http://10.147.112.4/id2/admin/sfcs/log_function/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/lpn/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/lpn/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/lpn/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/morder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/morder/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:00
http://10.147.112.4/id2/admin/sfcs/morder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/messagequeue/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/messagequeue/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/messagequeue/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/modelmap/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/modelmap/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/modelmap/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/partgroupid/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/partgroupid/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/partgroupid/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/unit_label_print/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/unit_label_print/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/unit_label_print/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/routingdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/routingdata/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/routingdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/step/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/step/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/step/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/taskexecutionhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/taskexecutionhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/type/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:08
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitmatchedpart/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitrepair/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:09
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unitstationhistory/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/unit/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:10
http://10.147.112.4/id2/admin/sfcs/wobom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/wobom/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/wobom/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorderdeviation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:11
http://10.147.112.4/id2/admin/sfcs/workorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sfcs/workorder/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sfcs/workorder/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/sites/site/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:12
http://10.147.112.4/id2/admin/translations/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/translations/translation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
http://10.147.112.4/id2/admin/sfcs/entity/638987/change/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:13
